,country,continent,population,day,time,active_cases,critical_cases,total_cases,recovered_cases,1M_pop_cases,1M_pop_deaths,total_deaths,1M_pop_tests,total_tests
23,Bolivia,South-America,11992656.0,2025-07-28,2025-07-28 16:15:04+00:00,12579,220,1212131,1177145,101073,1868,22407,225993,2710261
24,Bosnia-and-Herzegovina,Europe,3249317.0,2025-07-28,2025-07-28 16:15:05+00:00,8143,,403615,379084,124215,5044,16388,580036,1884721
25,Botswana,Africa,2441162.0,2025-07-28,2025-07-28 16:15:05+00:00,788,1,330638,327049,135443,1147,2801,830300,2026898
26,Brazil,South-America,215353593.0,2025-07-28,2025-07-28 16:15:02+00:00,1783377,,38743918,36249161,179908,3303,711380,296146,63776166
27,British-Virgin-Islands,North-America,30596.0,2025-07-28,2025-07-28 16:15:08+00:00,,,7392,,241600,2092,64,3508269,107339
28,Brunei,Asia,445431.0,2025-07-28,2025-07-28 16:15:05+00:00,99893,3,343719,243601,771655,505,225,1611437,717784
29,Bulgaria,Europe,6844597.0,2025-07-28,2025-07-28 16:15:04+00:00,8159,22,1339851,1292944,195753,5661,38748,1705147,11671043
30,Burkina-Faso,Africa,22102838.0,2025-07-28,2025-07-28 16:15:07+00:00,118,,22114,21596,1001,18,400,11265,248995
31,Burundi,Africa,12624840.0,2025-07-28,2025-07-28 16:15:06+00:00,1114,,54721,53569,4334,3,38,27386,345742
32,Cabo-Verde,Africa,567678.0,2025-07-28,2025-07-28 16:15:06+00:00,305,23,64477,63755,113580,735,417,707482,401622
33,Cambodia,Asia,17168639.0,2025-07-28,2025-07-28 16:15:06+00:00,3,,139103,136044,8102,178,3056,180062,3091420
34,Cameroon,Africa,27911548.0,2025-07-28,2025-07-28 16:15:06+00:00,125,,125379,123280,4492,71,1974,62762,1751774
35,Canada,North-America,38388419.0,2025-07-28,2025-07-28 16:15:03+00:00,5744,99,4946090,4881312,128843,1538,59034,1734189,66572774
36,CAR,Africa,5016678.0,2025-07-28,2025-07-28 16:15:08+00:00,127,2,15440,15200,3078,23,113,16205,81294
37,Caribbean-Netherlands,North-America,26647.0,2025-07-28,2025-07-28 16:15:08+00:00,1168,,11682,10476,438398,1426,38,1130559,30126
38,Cayman-Islands,North-America,67277.0,2025-07-28,2025-07-28 16:15:07+00:00,22882,1,31472,8553,467797,550,37,3311280,222773
39,Chad,Africa,17413580.0,2025-07-28,2025-07-28 16:15:08+00:00,2633,,7701,4874,442,11,194,10988,191341
